127.0.0.1 - - [18/Jul/2022:14:34:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:34:52 +0900] "GET /Spring/ HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:34:52 +0900] "GET /Spring/resources/js/jquery-3.6.0.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:34:52 +0900] "GET /Spring/resources/js/tSypeit.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:34:52 +0900] "GET /Spring/resources/images/sitelogo.png HTTP/1.1" 200 40501
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:34:53 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:19 +0900] "GET /Spring/home.do HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:19 +0900] "GET /resources/js/jquery-3.6.0.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:30 +0900] "POST /Spring/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:30 +0900] "GET /Spring/home.do HTTP/1.1" 200 3162
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:30 +0900] "GET /Spring/resources/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:30 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:35 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:41 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [18/Jul/2022:14:36:46 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1485
