127.0.0.1 - - [17/Jul/2022:18:16:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:16:55 +0900] "GET /Spring/ HTTP/1.1" 200 3760
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:16:55 +0900] "GET /Spring/resources/js/jquery-3.6.0.js HTTP/1.1" 404 854
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:16:55 +0900] "GET /Spring/resources/js/tSypeit.min.js HTTP/1.1" 404 853
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:16:55 +0900] "GET /Spring/resources/images/sitelogo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:16:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:16:57 +0900] "GET /Spring/home.do HTTP/1.1" 200 3549
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:16:57 +0900] "GET /resources/js/jquery-3.6.0.min.js HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:02 +0900] "GET /Spring/blist.bo HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:08 +0900] "POST /Spring/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:08 +0900] "GET /Spring/home.do HTTP/1.1" 200 3163
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:08 +0900] "GET /Spring/resources/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:08 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:11 +0900] "GET /Spring/myinfo.me HTTP/1.1" 200 3049
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:11 +0900] "GET /Spring/resources/css/member-style.css HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:11 +0900] "GET /Spring/resources/images/background.jpg HTTP/1.1" 200 543852
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:15 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:20 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:25 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:30 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:35 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:40 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:45 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:50 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:17:55 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:00 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:05 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:10 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:15 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:20 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:25 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:30 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:35 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:40 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:45 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:50 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:18:55 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:00 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:05 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:10 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:15 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:20 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:25 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:30 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:35 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:40 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:45 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:50 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
0:0:0:0:0:0:0:1 - - [17/Jul/2022:18:19:55 +0900] "GET /Spring/topList.bo HTTP/1.1" 200 1250
