127.0.0.1 - - [01/Jul/2022:16:46:19 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:40 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 3430
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:40 +0900] "GET /js/jquery-3.6.0.min.js HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:40 +0900] "GET /1_MyBatis/resources/mybatis.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:44 +0900] "POST /1_MyBatis/login.me HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:44 +0900] "GET /1_MyBatis HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:44 +0900] "GET /1_MyBatis/ HTTP/1.1" 200 2967
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:44 +0900] "GET /1_MyBatis/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Jul/2022:16:46:46 +0900] "GET /1_MyBatis/selectList.bo HTTP/1.1" 200 6337
