127.0.0.1 - - [21/May/2022:16:15:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [21/May/2022:16:15:08 +0900] "GET /0_MZServlet/ HTTP/1.1" 200 13835
0:0:0:0:0:0:0:1 - - [21/May/2022:16:15:08 +0900] "GET /0_MZ/WebContent/css/blog.css HTTP/1.1" 404 847
0:0:0:0:0:0:0:1 - - [21/May/2022:16:15:08 +0900] "GET /0_MZServlet/bootstrap-5.1.3-examples/blog/blog.css HTTP/1.1" 404 869
0:0:0:0:0:0:0:1 - - [21/May/2022:16:15:08 +0900] "GET /0_MZServlet/images/logo.png HTTP/1.1" 200 1794
0:0:0:0:0:0:0:1 - - [21/May/2022:16:15:08 +0900] "GET /0_MZServlet/images/best_m_img.png HTTP/1.1" 200 120490
0:0:0:0:0:0:0:1 - - [21/May/2022:16:15:08 +0900] "GET /0_MZServlet/images/mat_story_img.png HTTP/1.1" 200 311921
0:0:0:0:0:0:0:1 - - [21/May/2022:16:15:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [21/May/2022:16:16:20 +0900] "GET /0_MZServlet/board1Kor.bo HTTP/1.1" 500 1272
